reading_time,altitude,temperature,pressure,humidity
2016-01-01 23:00:00,137,17.10,100099,36.00
2016-01-01 23:00:02,145,16.90,100000,36.60
2016-01-01 23:00:28,282,14.40,98397,40.40
2016-01-01 23:01:33,638,12.90,94323,27.20
2016-01-01 23:02:07,801,11.40,92500,29.10
2016-01-01 23:04:19,1499,5.20,85000,31.40
2016-01-01 23:05:14,1777,2.80,82137,31.20
2016-01-01 23:05:38,1907,2.00,80825,27.50
2016-01-01 23:06:12,2094,2.30,78976,14.60
2016-01-01 23:06:45,2264,4.70,77336,1.00
2016-01-01 23:07:34,2527,3.90,74867,9.90
2016-01-01 23:07:59,2647,4.30,73766,3.20
2016-01-01 23:08:15,2730,3.60,73023,10.40
2016-01-01 23:08:25,2782,3.00,72555,24.20
2016-01-01 23:09:10,3007,1.10,70556,30.70
2016-01-01 23:09:23,3070,0.80,70000,27.70
2016-01-01 23:09:55,3238,0.90,68557,8.10
2016-01-01 23:10:25,3397,0.00,67204,9.30
2016-01-01 23:10:38,3465,-0.40,66636,10.50
2016-01-01 23:13:08,4298,-7.20,59960,17.50
2016-01-01 23:14:06,4607,-9.10,57616,29.60
2016-01-01 23:14:46,4811,-10.60,56115,27.30
2016-01-01 23:15:15,4970,-11.50,54967,15.60
2016-01-01 23:16:12,5276,-13.70,52801,16.00
2016-01-01 23:17:30,5687,-17.30,50000,24.20
2016-01-01 23:17:50,5794,-18.30,49294,28.90
2016-01-01 23:18:19,5968,-19.70,48152,24.40
2016-01-01 23:18:33,6049,-20.40,47630,32.30
2016-01-01 23:18:43,6104,-20.90,47275,26.10
2016-01-01 23:18:53,6161,-21.40,46910,31.50
2016-01-01 23:19:10,6252,-22.10,46333,13.40
2016-01-01 23:19:56,6507,-24.40,44751,29.10
2016-01-01 23:20:06,6562,-24.80,44413,41.30
2016-01-01 23:21:06,6892,-27.70,42431,40.50
2016-01-01 23:21:33,7048,-27.90,41521,15.90
2016-01-01 23:22:19,7314,-30.00,40000,25.30
2016-01-01 23:22:41,7439,-31.00,39302,26.40
2016-01-01 23:23:44,7798,-32.50,37357,14.10
2016-01-01 23:24:39,8115,-35.00,35707,15.40
2016-01-01 23:25:19,8374,-36.90,34397,27.90
2016-01-01 23:27:15,9087,-42.90,30987,29.80
2016-01-01 23:27:52,9305,-44.20,30000,24.80
2016-01-01 23:27:55,9318,-44.20,29939,24.30
2016-01-01 23:28:09,9392,-43.90,29612,16.10
2016-01-01 23:28:22,9470,-44.40,29270,10.70
2016-01-01 23:30:11,10025,-49.00,26918,25.20
2016-01-01 23:30:51,10252,-49.70,26001,20.90
2016-01-01 23:31:07,10331,-48.80,25689,15.10
2016-01-01 23:31:40,10495,-49.40,25055,9.00
2016-01-01 23:31:43,10509,-49.20,25000,8.50
2016-01-01 23:32:12,10642,-48.50,24502,4.80
2016-01-01 23:32:28,10712,-46.70,24242,2.80
2016-01-01 23:32:44,10784,-46.30,23982,1.70
2016-01-01 23:34:35,11306,-47.40,22160,1.20
2016-01-01 23:35:35,11595,-48.80,21209,1.00
2016-01-01 23:36:14,11788,-48.40,20598,1.00
2016-01-01 23:36:49,11951,-49.30,20092,1.00
2016-01-01 23:36:55,11981,-49.00,20000,1.00
2016-01-01 23:37:27,12148,-48.50,19498,1.00
2016-01-01 23:39:08,12614,-51.90,18156,1.00
2016-01-01 23:41:07,13208,-54.70,16555,1.00
2016-01-01 23:41:30,13319,-53.50,16270,1.00
2016-01-01 23:42:41,13658,-54.20,15433,1.00
2016-01-01 23:43:21,13841,-53.80,15000,1.00
2016-01-01 23:43:29,13880,-53.60,14908,1.00
2016-01-01 23:44:37,14198,-55.40,14185,1.00
2016-01-01 23:45:39,14497,-55.90,13534,1.00
2016-01-01 23:47:06,14915,-58.40,12669,1.00
2016-01-01 23:47:43,15092,-57.80,12318,1.00
2016-01-01 23:50:15,15854,-61.90,10903,1.00
2016-01-01 23:50:38,15970,-61.70,10700,1.00
2016-01-01 23:51:06,16109,-60.30,10464,1.00
2016-01-01 23:52:05,16390,-61.40,10000,1.00
2016-01-01 23:56:36,17752,-66.00,8009,1.40
2016-01-01 23:59:15,18573,-63.60,7000,1.00
2016-01-01 23:59:28,18636,-63.00,6929,1.00
2016-01-02 00:00:25,18924,-63.80,6611,1.00
2016-01-02 00:01:34,19278,-61.40,6243,1.00
2016-01-02 00:03:57,20039,-64.20,5518,1.00
2016-01-02 00:05:50,20646,-61.70,5000,1.00
2016-01-02 00:06:28,20855,-61.60,4833,1.00
2016-01-02 00:07:27,21171,-58.90,4595,1.00
2016-01-02 00:09:32,21848,-59.90,4123,1.00
2016-01-02 00:11:33,22535,-57.10,3696,1.00
2016-01-02 00:12:43,22935,-60.00,3468,1.00
2016-01-02 00:12:57,23017,-59.00,3423,1.00
2016-01-02 00:13:35,23239,-60.20,3303,1.00
2016-01-02 00:15:18,23844,-57.90,3000,1.00
2016-01-02 00:16:10,24153,-56.30,2857,1.00
2016-01-02 00:17:40,24689,-57.00,2625,1.00
2016-01-02 00:19:19,25295,-53.60,2387,1.00
2016-01-02 00:20:38,25775,-52.90,2215,1.00
