reading_time,altitude,temperature,pressure,humidity
2016-01-05 15:15:00,723,5.30,92660,87.00
2016-01-05 15:15:02,737,5.50,92500,87.70
2016-01-05 15:15:32,914,6.50,90524,79.80
2016-01-05 15:15:54,1037,7.20,89183,79.50
2016-01-05 15:16:00,1071,7.00,88809,80.30
2016-01-05 15:16:26,1219,5.90,87227,87.70
2016-01-05 15:17:00,1400,4.50,85313,88.60
2016-01-05 15:17:06,1430,4.30,85000,88.60
2016-01-05 15:18:00,1738,2.90,81846,87.10
2016-01-05 15:18:15,1829,2.40,80931,94.30
2016-01-05 15:19:00,2077,1.10,78481,95.60
2016-01-05 15:19:10,2134,0.80,77928,96.80
2016-01-05 15:19:40,2290,0.00,76428,96.30
2016-01-05 15:20:00,2400,-0.70,75389,97.70
2016-01-05 15:20:07,2438,-1.00,75029,97.70
2016-01-05 15:20:23,2516,-1.50,74299,98.10
2016-01-05 15:21:00,2705,-2.30,72559,92.90
2016-01-05 15:21:08,2743,-2.50,72211,94.20
2016-01-05 15:21:59,2990,-2.70,70000,74.00
2016-01-05 15:22:00,2998,-2.70,69929,73.80
2016-01-05 15:22:33,3180,-3.80,68338,68.70
2016-01-05 15:22:50,3279,-4.10,67488,43.20
2016-01-05 15:23:00,3340,-4.70,66962,59.70
2016-01-05 15:23:11,3404,-4.90,66421,76.90
2016-01-05 15:23:23,3478,-5.20,65799,77.80
2016-01-05 15:23:36,3571,-5.50,65026,66.10
2016-01-05 15:23:46,3639,-5.50,64462,34.20
2016-01-05 15:23:49,3658,-5.70,64308,35.90
2016-01-05 15:24:00,3736,-6.30,63670,28.80
2016-01-05 15:24:17,3845,-6.70,62784,31.80
2016-01-05 15:25:00,4120,-9.10,60608,33.90
2016-01-05 15:25:26,4267,-10.50,59460,40.80
2016-01-05 15:26:00,4469,-12.40,57913,46.70
2016-01-05 15:26:22,4607,-13.60,56875,44.80
2016-01-05 15:27:00,4816,-15.00,55326,45.30
2016-01-05 15:27:11,4877,-15.50,54883,52.60
2016-01-05 15:27:42,5051,-16.60,53633,58.40
2016-01-05 15:28:00,5165,-17.10,52825,38.60
2016-01-05 15:28:20,5256,-17.60,52184,28.10
2016-01-05 15:29:00,5447,-19.10,50866,37.60
2016-01-05 15:29:23,5574,-20.10,50000,33.90
2016-01-05 15:29:40,5682,-21.00,49281,31.00
2016-01-05 15:30:00,5798,-22.10,48511,42.90
2016-01-05 15:30:47,6078,-24.10,46691,87.20
2016-01-05 15:30:51,6096,-24.20,46573,88.70
2016-01-05 15:31:00,6150,-24.70,46231,92.10
2016-01-05 15:31:35,6350,-26.30,44969,96.40
2016-01-05 15:31:57,6490,-27.00,44109,93.60
