reading_time,altitude,temperature,pressure,humidity
2016-01-01 23:02:00,3,10.90,102155,51.00
2016-01-01 23:02:13,70,9.90,101327,43.70
2016-01-01 23:02:37,179,8.80,100000,45.60
2016-01-01 23:03:45,525,5.60,95887,54.00
2016-01-01 23:04:47,818,3.60,92500,62.80
2016-01-01 23:05:27,989,2.40,90568,65.60
2016-01-01 23:06:46,1324,1.40,86886,42.20
2016-01-01 23:07:19,1487,0.00,85136,44.10
2016-01-01 23:07:22,1500,-0.10,85000,44.10
2016-01-01 23:08:11,1770,-2.20,82163,43.80
2016-01-01 23:08:30,1887,-0.30,80969,11.20
2016-01-01 23:08:39,1931,0.00,80524,6.90
2016-01-01 23:08:56,2012,1.30,79708,3.30
2016-01-01 23:09:11,2082,3.00,79022,3.80
2016-01-01 23:09:48,2250,2.90,77399,5.20
2016-01-01 23:10:46,2519,1.40,74853,2.70
2016-01-01 23:11:17,2656,1.80,73593,4.10
2016-01-01 23:12:08,2899,0.00,71397,5.70
2016-01-01 23:12:40,3057,-1.40,70000,5.60
2016-01-01 23:16:17,4102,-9.90,61251,6.40
2016-01-01 23:16:35,4193,-9.60,60536,1.00
2016-01-01 23:18:33,4794,-13.70,55960,1.60
2016-01-01 23:21:20,5546,-20.50,50619,3.00
2016-01-01 23:21:41,5637,-21.10,50000,2.70
2016-01-01 23:25:02,6517,-27.90,44310,1.10
2016-01-01 23:27:33,7171,-31.70,40422,3.00
2016-01-01 23:27:51,7245,-31.70,40000,2.40
2016-01-01 23:28:16,7345,-31.40,39438,1.50
2016-01-01 23:29:30,7675,-32.70,37636,2.30
2016-01-01 23:32:20,8432,-38.80,33753,6.10
2016-01-01 23:33:50,8805,-39.90,31962,5.60
2016-01-01 23:35:33,9234,-43.60,30000,5.50
2016-01-01 23:37:11,9656,-47.20,28161,5.70
2016-01-01 23:38:34,10019,-48.70,26651,4.80
2016-01-01 23:39:55,10387,-51.60,25191,7.30
2016-01-01 23:40:06,10436,-51.60,25000,7.80
2016-01-01 23:41:03,10689,-51.20,24043,8.20
2016-01-01 23:42:05,10971,-49.90,23027,2.90
2016-01-01 23:43:09,11252,-51.30,22053,1.60
2016-01-01 23:44:06,11515,-49.30,21182,1.10
2016-01-01 23:44:34,11649,-49.20,20754,1.00
2016-01-01 23:45:26,11890,-50.50,20000,1.00
2016-01-01 23:45:43,11969,-50.80,19761,1.00
2016-01-01 23:46:03,12059,-50.30,19491,1.00
2016-01-01 23:47:16,12396,-51.20,18507,1.00
2016-01-01 23:48:33,12758,-48.80,17509,1.00
2016-01-01 23:50:11,13223,-51.30,16304,1.00
2016-01-01 23:52:07,13765,-50.90,15000,1.00
2016-01-01 23:52:08,13771,-50.90,14987,1.00
2016-01-01 23:54:11,14353,-53.80,13697,1.00
2016-01-01 23:55:00,14585,-53.60,13211,1.00
2016-01-01 23:55:36,14764,-55.10,12847,1.00
2016-01-01 23:56:35,15058,-54.70,12267,1.00
2016-01-01 23:58:23,15587,-57.90,11287,1.00
2016-01-01 23:58:58,15760,-56.00,10983,1.00
2016-01-02 00:00:24,16188,-58.90,10263,1.00
2016-01-02 00:00:56,16351,-59.20,10000,1.10
2016-01-02 00:01:26,16499,-58.20,9766,1.00
2016-01-02 00:02:25,16789,-60.40,9325,1.20
2016-01-02 00:06:30,18058,-63.70,7596,1.50
2016-01-02 00:07:29,18366,-61.30,7226,1.10
2016-01-02 00:08:09,18562,-61.30,7000,1.10
2016-01-02 00:08:58,18813,-60.40,6723,1.00
2016-01-02 00:14:24,20599,-63.10,5039,1.20
2016-01-02 00:14:32,20647,-62.70,5000,1.20
2016-01-02 00:16:15,21228,-58.10,4555,1.00
2016-01-02 00:17:04,21510,-59.80,4354,1.00
2016-01-02 00:17:36,21682,-58.50,4237,1.00
2016-01-02 00:18:27,21956,-59.30,4055,1.00
2016-01-02 00:20:31,22664,-55.80,3626,1.00
2016-01-02 00:23:58,23868,-55.20,3000,1.00
2016-01-02 00:27:21,25116,-55.40,2467,1.00
2016-01-02 00:28:15,25451,-56.60,2340,1.00
2016-01-02 00:30:01,26091,-54.80,2116,1.00
2016-01-02 00:30:59,26451,-55.60,2000,1.00
2016-01-02 00:31:18,26568,-55.80,1963,1.00
2016-01-02 00:32:08,26899,-53.90,1864,1.00
2016-01-02 00:34:17,27787,-54.00,1623,1.00
2016-01-02 00:38:38,29512,-49.90,1244,1.00
2016-01-02 00:39:38,29936,-51.90,1165,1.00
2016-01-02 00:40:46,30382,-51.00,1088,1.00
2016-01-02 00:42:08,30927,-53.00,1000,1.00
2016-01-02 00:42:28,31054,-53.30,980,1.00
2016-01-02 00:43:47,31607,-51.40,900,1.00
2016-01-02 00:44:25,31889,-51.60,862,1.00
